customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,labels
650634,R3EQSTM9PWRAL,B0091LBZSU,578484426,Demograss Capsules Diet Pills Lose Weight,Health & Personal Care,3,0,0,N,Y,Three Stars,0
19827510,RBWPRK17XKIXD,B00PWW3LQ6,456433146,"Viva Labs #1 Premium Himalayan Organic Goji Berries, Noticeably Larger and Juicier",Health & Personal Care,5,0,0,N,Y,A good portable snack,0
1520474,RRSLOAF273XFC,B00DKEWA92,460764511,Whip-it Cleaner,Health & Personal Care,5,1,2,N,Y,You need this,0
23905905,R3S8W9Q6SWIT8O,B0015R3A7M,135102038,"Optimum Nutrition Opti-Men Daily Multivitamin Supplement, 90 Count",Health & Personal Care,4,0,0,N,Y,this is a good vitamin for men,0
28215779,R3QQ6NSLRVBFJC,B006B8U8BG,200666829,"Wet-Stop3 Bedwetting Enuresis Alarm with Loud Sound and Strong Vibration for Boys or Girls, Proven Solutions for Bedwetters",Health & Personal Care,4,0,0,N,Y,progress is definitely happening!!!!,0
23260912,R2XYDBMHUVJCSX,B00PFZFD8Y,344168617,NatraCure Plantar Fasciitis Wrap (One Wrap) - 1291-S CAT Arch Support (Small/Medium),Health & Personal Care,2,0,1,N,Y,Two Stars,0
7965616,R1L94ESVC657A9,B0034792JG,291831570,Glade Sense & Spray Refills (Pack of 10),Health & Personal Care,5,0,0,N,Y,Five Stars,0
3443178,R3DI4B8LDWFQ3K,B000052XIA,493678550,Vagisil Anti-Itch Creme,Health & Personal Care,1,3,4,N,Y,It still is itching like always. maybe a little less but it didn't ...,0
20838781,R1G7VV4HCXUQQL,B004GCUK8A,3902598,"Glade Automatic Spray Air Freshener Starter Kit, Hawaiian Breeze (6.2 oz)",Health & Personal Care,5,0,0,N,Y,Five Stars,0
15267517,R3TTNYN1TAMUSU,B00K7W1QAO,633971374,"Kirkland Signature Outdoor Bags, 1.2 Mil - 45 gal - 100 ct",Health & Personal Care,5,0,0,N,Y,Will buy again,0
30105089,R3AMX2D9HMWV6Z,B0034KYA36,854858899,"Zyrtec Prescription-Strength Allergy Medicine Tablets With Cetirizine, 70 Count, 10 mg",Health & Personal Care,5,0,0,N,Y,Good price!,0
